,0,1,2,3,4,5,6
276,0,9.76,91,Monitoreo de agua y electricidad,0,23.92,1
277,0,9.8,148,Deteccion de terremotos,0,24.04,0
278,0,9.84,63,Control de iluminacion,0,23.46,0
279,0,9.85,64,Monitoreo de agua y electricidad,0,20.18,1
280,0,9.85,250,Monitoreo de agua y electricidad,0,21.85,1
281,0,9.99,114,Monitoreo de agua y electricidad,0,20.09,1
282,0,10.04,113,Monitoreo de agua y electricidad,0,22.86,1
283,0,10.12,152,Monitoreo de agua y electricidad,0,21.84,1
284,0,10.16,63,Monitoreo de agua y electricidad,0,20.9,1
285,0,10.18,167,Control de iluminacion,0,20.22,0
286,0,10.19,125,Monitoreo de agua y electricidad,0,32.72,1
287,0,10.26,11,Control de iluminacion,0,20.22,0
288,0,10.28,264,Control de iluminacion,0,20.22,0
289,0,10.29,273,Deteccion de terremotos,0,27.0,0
290,0,10.29,126,Monitoreo de agua y electricidad,0,21.02,1
291,0,10.36,327,Control de iluminacion,0,20.18,0
292,0,10.38,224,Control de iluminacion,0,24.98,0
293,0,10.42,120,Monitoreo de agua y electricidad,0,20.32,1
294,0,10.49,127,Control de iluminacion,0,20.46,0
295,0,10.63,223,Monitoreo de agua y electricidad,0,21.04,1
296,0,10.65,311,Control de iluminacion,0,20.44,0
297,0,10.65,13,Monitoreo de agua y electricidad,0,20.65,1
298,0,10.67,205,Monitoreo de agua y electricidad,0,21.41,1
299,0,10.68,164,Monitoreo de agua y electricidad,0,20.44,1
300,0,10.7,297,Deteccion de terremotos,0,22.66,0
301,0,10.73,16,Monitoreo de agua y electricidad,0,20.18,1
302,0,10.73,264,Monitoreo de agua y electricidad,0,20.08,1
303,0,10.8,254,Control de iluminacion,0,22.58,0
304,0,10.8,242,Monitoreo de agua y electricidad,0,20.29,1
305,0,10.87,232,Monitoreo de agua y electricidad,0,20.14,1
306,0,10.88,177,Monitoreo de agua y electricidad,0,21.67,1
307,0,10.96,35,Control de iluminacion,0,21.49,0
308,0,10.99,287,Deteccion de terremotos,0,23.48,0
309,0,11.02,101,Monitoreo de agua y electricidad,0,20.46,1
310,0,11.06,122,Deteccion de terremotos,0,24.88,0
311,0,11.11,251,Monitoreo de agua y electricidad,0,20.05,1
312,0,11.13,37,Monitoreo de agua y electricidad,0,20.04,1
313,0,11.14,135,Control de iluminacion,0,22.89,0
314,0,11.18,273,Control de iluminacion,0,20.58,0
315,0,11.18,17,Monitoreo de agua y electricidad,0,20.88,1
316,0,11.26,51,Monitoreo de agua y electricidad,0,20.05,1
317,0,11.27,236,Monitoreo de agua y electricidad,0,21.4,1
318,0,11.29,63,Control de iluminacion,0,41.46,0
